clusterID,pca1,pca2,Row_id,Tweets,Class
0,-0.42,0.16,79,here is some serious hairy moments in a flood situation i think this is in elliott city maryland last night,help/rescue
0,-0.42,-0.17,350,so wheres this flood bc i live in ellicott city,help/rescue
0,-0.42,0.24,373,hope our maryland family are all safe after the rain and flood  last night  especially those in ellicott city & clipper mill,help/rescue
0,-0.42,-0.16,419,ellicott city flooding this is how dangerous flood waters were in ellicott city md saturday this is why we,help/rescue
0,-0.42,-0.24,221,not understanding surprise about ellicottcity if youre from the area u know its happened before and will again its a known flood area,help/rescue
0,-0.42,-0.14,172,wow!  170 vehicles not drivable in elliott city flood,help/rescue
0,-0.42,-0.11,301,so sad condolences to the people who killed in that ellicott city flood,help/rescue
0,-0.42,-0.09,213,flood washes away vehicles in ellicott city md  henri_sanders,help/rescue
0,-0.41,-0.30,467,ellicott city flood damage wbaltv 11 baltimore wbal wbaltv11 ellicottcity,help/rescue
0,-0.41,-0.14,501,horrific news about the flood in ellicott city everyone affected is in my prayers,help/rescue
0,-0.41,-0.23,561,but ellicott city also in very flood  prone area & has a long history of flooding not the best place for a town,help/rescue
0,-0.41,-0.35,604,my prayers go to all of my friends in ellicott city md rainfalls brought a huge flood that killed one and,help/rescue
0,-0.41,0.08,124,watch this dramatic rescue of a woman from her car during the elliott city flood,help/rescue
0,-0.40,-0.22,451,so sad seeing one of such beautiful town ellicottcity md devastated by flood  thoughts & prayers are with yall,help/rescue
0,-0.40,0.26,143,how last nights flood waters rose so quickly on old ellicott citys main street,help/rescue
0,-0.40,-0.18,29,extreme flood,help/rescue
0,-0.40,0.27,583,this might be the most incredible video to show the intensity of last nights flood ellicottcity flashflood,help/rescue
0,-0.40,0.50,354,people formed a human chain to save a woman from her car in the ellicottcity flood last night,help/rescue
0,-0.39,0.22,268,a crazy video of the flood in ellicott city hope everyone is ok,help/rescue
0,-0.39,0.24,42,weather nat ellicott city md flood rescue (great video) (sun0058) pictwittercom/mdcxcjylcm,help/rescue
0,-0.39,-0.09,242,ellicott city got wrecked by the flood,help/rescue
0,-0.39,-0.10,584,if you can please donate to help the flood victims ellicottcity flood,help/rescue
0,-0.39,-0.17,533,prayers for my beloved ellicottcity devastating flood,help/rescue
0,-0.39,0.36,8,in watching a bunch of videos from ellicott city last night the flood waters were crazy but also that power was on during and afterwards!,help/rescue
0,-0.39,-0.03,352,truly looks like a disaster scene from a movie set ellicott city flood human chain floating cars road collapse,help/rescue
0,-0.39,-0.21,415,hoping all friends near ellicott city are safe tonight in the flood,help/rescue
0,-0.39,0.30,26,im a little heartboken this morning looking at all the flood videos and damage from historical ellicott city last night,help/rescue
0,-0.39,0.15,237,rt jaycamikengl video flood washes away vehicles in ellicott city maryland  henri_sanders pictwittercom/9eb5nsxuwn,help/rescue
0,-0.38,0.17,435,crazy flood pics and videos at the ellicottcity hashtag this clock i photographed last year washed right away pictwittercom/5lpufg575c,help/rescue
0,-0.38,0.14,257,this is sad! the clock in ellicott city seen in this video taken out by the flood today,help/rescue
0,-0.38,0.32,338,let us pray for all who were affected by the flood in ellicott city maryland last night,help/rescue
0,-0.38,-0.02,447,i will be interested to see where this flood stacks up on the ellicott city flood history was it more local creeks? pictwittercom/yfpeta3cxl,help/rescue
0,-0.38,0.03,303,ellicottcity flood rescue  scary,help/rescue
0,-0.38,0.28,63,ellicottcity destroyed by flooding last night  thoughts and prayers for the families that were affected flood,help/rescue
0,-0.37,-0.02,506,jesus just looking at the ellicott city flood damage,help/rescue
0,-0.37,0.11,290,people checking out flood damage smashed cardin ellicott city pictwittercom/npbqgluerq,help/rescue
0,-0.37,0.02,397,ellicottcity flood  holy  pictwittercom/biizcm3n6f,help/rescue
0,-0.37,0.21,378,citizen video of damage after flood ellicott city pgfd swift water teams 806 849 856 & 857 assisted hcdfrs,help/rescue
0,-0.37,-0.01,593,ellicott city before the flood this is at the top of main street,help/rescue
